                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0741,                 1.7444,                 1.3668,                0.63062,                0.55816,                0.60224,                0.43793,                0.90307,                 1.4526,                 1.3654,               0.008317,               0.008317,               0.008317
                     36,                 1.0663,                 1.6869,                 1.3491,                0.62214,                0.62974,                 0.6337,                0.46414,                0.89535,                 1.3458,                 1.3527,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0616,                 1.6542,                 1.3435,                0.60144,                0.61273,                0.62674,                0.46317,                0.88497,                 1.3558,                 1.3468,               0.008218,               0.008218,               0.008218
                     38,                 1.0778,                 1.6998,                   1.35,                0.62935,                0.60259,                0.64308,                0.47631,                0.88359,                 1.3857,                 1.3413,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0561,                 1.6217,                 1.3313,                0.70007,                0.61772,                0.66808,                0.49003,                0.87827,                 1.2771,                 1.3532,               0.008119,               0.008119,               0.008119
                     40,                 1.0529,                 1.6337,                 1.3341,                0.66833,                 0.6211,                0.65829,                0.48921,                0.86284,                 1.2677,                 1.3317,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0547,                 1.6374,                 1.3408,                0.63234,                0.61928,                0.64606,                0.47942,                0.87228,                 1.2969,                 1.3321,                0.00802,                0.00802,                0.00802
                     42,                 1.0455,                 1.6059,                 1.3398,                0.66548,                0.62018,                 0.6571,                0.49306,                0.85999,                 1.3013,                 1.3283,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0454,                 1.6331,                 1.3403,                 0.6781,                0.61024,                0.65965,                 0.4964,                0.83973,                 1.2766,                 1.3136,               0.007921,               0.007921,               0.007921
                     44,                 1.0657,                 1.5922,                 1.3338,                0.67272,                0.63936,                0.67632,                0.50556,                0.83917,                  1.251,                 1.3022,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0437,                 1.5651,                 1.3278,                0.67394,                0.63017,                0.67531,                 0.5124,                0.83335,                 1.3031,                  1.302,               0.007822,               0.007822,               0.007822
                     46,                 1.0376,                 1.5413,                 1.3174,                0.67513,                 0.6136,                 0.6761,                0.51021,                0.83582,                  1.281,                 1.3026,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0454,                 1.5639,                 1.3242,                0.67909,                0.60364,                0.66801,                0.50133,                0.84555,                 1.2414,                 1.3137,               0.007723,               0.007723,               0.007723
