                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                0.82661,                0.94161,                 1.1711,                 0.7615,                0.71728,                0.76342,                0.60976,                0.74212,                0.99553,                 1.2282,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.8328,                0.94711,                 1.1703,                0.76404,                0.71914,                0.76505,                0.60977,                 0.7418,                0.99473,                  1.228,               0.002674,               0.002674,               0.002674
                    150,                0.80817,                0.92893,                  1.163,                0.76398,                0.71929,                0.76557,                0.61112,                0.74238,                0.99342,                 1.2282,              0.0026245,              0.0026245,              0.0026245
                    151,                0.82962,                0.93639,                 1.1717,                0.76375,                 0.7176,                0.76487,                 0.6108,                0.74111,                0.99407,                 1.2273,               0.002575,               0.002575,               0.002575
                    152,                0.82401,                0.93296,                 1.1665,                0.76301,                 0.7179,                0.76514,                0.61158,                0.74108,                0.99314,                 1.2273,              0.0025255,              0.0025255,              0.0025255
                    153,                0.82137,                 0.9326,                 1.1603,                0.76236,                0.71667,                0.76627,                  0.612,                 0.7407,                0.99201,                 1.2272,               0.002476,               0.002476,               0.002476
                    154,                0.79869,                 0.9124,                 1.1591,                0.76483,                0.71555,                0.76564,                0.61144,                0.74024,                0.99168,                 1.2269,              0.0024265,              0.0024265,              0.0024265
                    155,                0.82792,                 0.9183,                 1.1604,                0.76723,                0.71307,                 0.7671,                0.61261,                0.73961,                0.99115,                 1.2267,               0.002377,               0.002377,               0.002377
                    156,                0.81217,                0.91258,                 1.1561,                0.76764,                0.71204,                0.76659,                0.61257,                0.73967,                0.99095,                 1.2268,              0.0023275,              0.0023275,              0.0023275
                    157,                0.81601,                0.91273,                 1.1694,                0.76491,                0.70946,                0.76572,                0.61174,                0.73885,                0.99088,                 1.2263,               0.002278,               0.002278,               0.002278
                    158,                0.81097,                0.91319,                 1.1582,                0.76226,                 0.7125,                0.76502,                0.61152,                0.73856,                0.98985,                  1.226,              0.0022285,              0.0022285,              0.0022285
                    159,                0.82241,                0.89682,                 1.1548,                0.76188,                0.71087,                0.76554,                0.61135,                 0.7378,                 0.9894,                 1.2255,               0.002179,               0.002179,               0.002179
                    160,                0.78967,                0.88546,                 1.1465,                0.76453,                0.71007,                0.76561,                0.61146,                0.73797,                0.98927,                  1.226,              0.0021295,              0.0021295,              0.0021295
                    161,                0.80495,                0.91386,                  1.161,                0.75981,                0.71538,                0.76605,                 0.6122,                0.73841,                0.98813,                 1.2267,                0.00208,                0.00208,                0.00208
                    162,                0.79929,                0.88592,                  1.153,                0.76672,                0.70906,                 0.7663,                0.61227,                0.73829,                0.98841,                  1.227,              0.0020305,              0.0020305,              0.0020305
                    163,                0.78687,                0.88819,                 1.1555,                 0.7648,                0.71022,                0.76611,                 0.6118,                0.73794,                0.98827,                 1.2265,               0.001981,               0.001981,               0.001981
                    164,                0.80651,                0.88473,                 1.1508,                 0.7643,                0.71209,                0.76592,                0.61058,                0.73746,                0.98871,                 1.2259,              0.0019315,              0.0019315,              0.0019315
                    165,                0.79676,                0.89221,                 1.1513,                0.76869,                0.70785,                 0.7663,                0.61185,                0.73695,                0.98874,                 1.2259,               0.001882,               0.001882,               0.001882
                    166,                0.79411,                0.86668,                 1.1482,                0.76395,                 0.7146,                0.76616,                0.61127,                0.73664,                0.98809,                 1.2255,              0.0018325,              0.0018325,              0.0018325
                    167,                 0.8007,                0.87902,                 1.1444,                 0.7649,                0.71258,                0.76627,                 0.6114,                0.73572,                0.98796,                 1.2245,               0.001783,               0.001783,               0.001783
                    168,                0.79513,                0.86939,                 1.1445,                0.76601,                0.71098,                0.76602,                0.61164,                 0.7361,                0.98701,                 1.2253,              0.0017335,              0.0017335,              0.0017335
                    169,                0.77942,                0.85909,                 1.1395,                0.76779,                0.71018,                0.76664,                 0.6117,                0.73625,                0.98697,                 1.2256,               0.001684,               0.001684,               0.001684
                    170,                0.80026,                0.86419,                 1.1488,                0.76539,                0.71131,                0.76702,                0.61201,                0.73599,                0.98646,                 1.2256,              0.0016345,              0.0016345,              0.0016345
                    171,                0.79163,                 0.8678,                 1.1511,                0.76724,                0.71085,                0.76752,                0.61229,                0.73609,                 0.9854,                 1.2258,               0.001585,               0.001585,               0.001585
                    172,                 0.7904,                0.84432,                 1.1366,                0.76487,                0.71312,                0.76706,                0.61186,                0.73553,                0.98528,                 1.2254,              0.0015355,              0.0015355,              0.0015355
                    173,                0.77742,                0.85378,                 1.1404,                  0.767,                 0.7153,                0.76765,                0.61212,                0.73508,                0.98495,                 1.2249,               0.001486,               0.001486,               0.001486
                    174,                0.79162,                0.85673,                 1.1497,                0.76631,                0.71511,                0.76692,                 0.6119,                0.73496,                0.98534,                 1.2246,              0.0014365,              0.0014365,              0.0014365
                    175,                0.79187,                0.85143,                 1.1398,                0.76793,                 0.7124,                0.76673,                0.61238,                0.73463,                 0.9854,                 1.2244,               0.001387,               0.001387,               0.001387
                    176,                0.77915,                0.84008,                 1.1355,                0.76945,                0.71066,                0.76722,                 0.6124,                0.73484,                0.98506,                 1.2247,              0.0013375,              0.0013375,              0.0013375
                    177,                0.77626,                0.85435,                 1.1395,                0.76781,                0.71084,                0.76676,                0.61282,                0.73463,                0.98514,                 1.2246,               0.001288,               0.001288,               0.001288
                    178,                0.77916,                 0.8369,                 1.1389,                0.76822,                0.71087,                0.76717,                0.61253,                0.73454,                0.98465,                 1.2245,              0.0012385,              0.0012385,              0.0012385
                    179,                0.77283,                0.83244,                 1.1341,                0.76945,                 0.7112,                0.76749,                0.61283,                0.73428,                0.98417,                 1.2243,               0.001189,               0.001189,               0.001189
                    180,                0.76644,                0.83613,                 1.1342,                0.76988,                0.71058,                0.76819,                0.61349,                0.73385,                0.98441,                 1.2239,              0.0011395,              0.0011395,              0.0011395
                    181,                0.78488,                0.84649,                 1.1401,                0.76982,                0.71198,                0.76844,                0.61396,                0.73379,                 0.9844,                 1.2239,                0.00109,                0.00109,                0.00109
                    182,                0.76973,                0.83007,                 1.1258,                0.76983,                 0.7119,                 0.7688,                0.61398,                 0.7334,                0.98468,                 1.2237,              0.0010405,              0.0010405,              0.0010405
                    183,                0.75446,                0.81742,                 1.1289,                 0.7683,                0.71139,                0.76774,                0.61318,                0.73369,                0.98425,                 1.2243,               0.000991,               0.000991,               0.000991
                    184,                0.75481,                0.80959,                 1.1255,                0.76831,                0.71374,                0.76861,                0.61338,                0.73367,                0.98377,                 1.2243,              0.0009415,              0.0009415,              0.0009415
                    185,                0.75504,                0.81854,                 1.1232,                0.76855,                0.71301,                0.76837,                0.61377,                0.73385,                0.98356,                 1.2246,               0.000892,               0.000892,               0.000892
                    186,                0.74966,                0.81552,                 1.1278,                 0.7686,                0.71433,                0.76852,                0.61354,                0.73397,                0.98359,                 1.2248,              0.0008425,              0.0008425,              0.0008425
                    187,                 0.7522,                0.81068,                 1.1246,                 0.7681,                0.71576,                0.76782,                0.61322,                 0.7338,                0.98392,                 1.2248,               0.000793,               0.000793,               0.000793
                    188,                0.74569,                0.80464,                 1.1202,                0.76935,                0.71454,                0.76766,                0.61273,                0.73393,                0.98472,                  1.225,              0.0007435,              0.0007435,              0.0007435
                    189,                0.73686,                0.78574,                 1.1075,                0.76807,                0.71461,                0.76728,                0.61231,                0.73391,                0.98465,                 1.2251,               0.000694,               0.000694,               0.000694
                    190,                 0.7499,                0.80759,                 1.1265,                 0.7688,                0.71402,                0.76803,                0.61289,                0.73384,                0.98521,                 1.2249,              0.0006445,              0.0006445,              0.0006445
                    191,                0.67497,                0.55752,                 1.0678,                0.76869,                0.71498,                 0.7678,                0.61228,                0.73394,                0.98518,                 1.2252,               0.000595,               0.000595,               0.000595
                    192,                0.65786,                0.52785,                 1.0578,                 0.7688,                0.71445,                0.76713,                0.61221,                 0.7339,                0.98554,                 1.2252,              0.0005455,              0.0005455,              0.0005455
                    193,                0.65255,                0.51757,                 1.0548,                0.76857,                 0.7137,                0.76577,                0.61215,                0.73366,                0.98565,                 1.2251,               0.000496,               0.000496,               0.000496
                    194,                0.65822,                 0.5166,                  1.052,                0.76753,                0.71437,                0.76585,                0.61274,                 0.7337,                0.98581,                 1.2257,              0.0004465,              0.0004465,              0.0004465
                    195,                0.64946,                 0.5097,                 1.0541,                0.76866,                0.71316,                0.76533,                0.61193,                 0.7334,                0.98538,                 1.2259,               0.000397,               0.000397,               0.000397
                    196,                0.64207,                0.50434,                 1.0454,                0.76909,                0.71264,                0.76492,                0.61197,                0.73324,                0.98517,                 1.2262,              0.0003475,              0.0003475,              0.0003475
                    197,                0.63597,                0.49753,                 1.0406,                0.77006,                0.71187,                0.76512,                0.61235,                0.73294,                0.98543,                 1.2262,               0.000298,               0.000298,               0.000298
                    198,                0.62607,                0.48318,                 1.0334,                0.77053,                0.71192,                0.76486,                0.61192,                0.73281,                0.98577,                 1.2262,              0.0002485,              0.0002485,              0.0002485
                    199,                0.62786,                0.48952,                 1.0365,                0.77111,                0.71242,                0.76524,                0.61213,                0.73232,                0.98559,                  1.226,               0.000199,               0.000199,               0.000199
                    200,                0.62621,                0.48239,                 1.0387,                 0.7701,                0.71335,                0.76527,                0.61195,                0.73177,                0.98584,                 1.2256,              0.0001495,              0.0001495,              0.0001495
